what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485778053382
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485778053548
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485778053629
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485778080910
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485778084928
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778085646
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778085774
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778087764
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485778088626
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778089586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778096459
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778100240
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485778104320
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778105893
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778114969
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778133760
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485778144555
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1485778147643
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778150345
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778636108
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778642483
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778644667
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778644714
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778648505
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485778651375
