what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485943044083
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1485943048378
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485943054485
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485943064154
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485943083677
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485943086748
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485943098013
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485943123178
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485943125569
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485943136123
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485943312808
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946136108
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485946147089
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946150485
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946152151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946155835
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946163795
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485946164308
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485946164478
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485946168905
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1485946182292
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485946192749
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485946243370
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946247323
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485946251133
