what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485927737322
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485927750085
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485927753040
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485927786939
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1485927804877
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485927806940
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485927817940
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1485927829942
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485927846299
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485927894534
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485927901863
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485927902535
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485927938120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485927943408
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485927949719
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485927979487
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485927980806
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485927992218
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928003914
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928008410
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928042866
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928111116
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928374284
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485928375950
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485928381643
