what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924450793
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.show.outline",1485924450849
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924452807
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924456179
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924456256
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924495995
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924497884
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924506675
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924545449
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924558002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924580073
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924580166
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924580224
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924582871
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485924647519
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485924647676
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485924647774
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924658324
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924662474
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1485924687381
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924770914
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924819703
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485924834503
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924841481
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924841619
