what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923291437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923319479
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923336516
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923345549
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923346023
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923377783
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485923385775
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485923389774
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485923389994
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485923391820
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923555661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485923997383
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485924182184
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1485924187593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924192105
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924206957
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924206977
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924207453
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485924207454
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924221253
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924221396
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485924223146
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485924224106
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924436696
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485924446252
