what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855276590
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855279782
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485855279802
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485855280704
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855282061
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855282219
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485855282235
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485855283233
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855285582
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855287894
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1485855287927
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485855321277
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855323901
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855332832
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485855332935
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485855333006
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485855346267
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855347430
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855348429
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485855348434
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855350124
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1485855352655
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1485855353032
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485855353214
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485855353257
