what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845690280
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1485845690334
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845700269
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845701993
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485845702021
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485845706753
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.saveAll",1485845708853
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485845711798
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845714211
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845717273
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485845717289
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485845718372
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845719970
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845720158
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1485845720176
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1485845721381
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845723346
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845725849
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1485845725876
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485845727816
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485845728945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845738982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845771638
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845773327
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485845778550
